medicine_name,medicine_dosage
Paracetamol,500 mg
Aspirin,75 mg
Ibuprofen,200 mg
Amoxicillin,250 mg
Ciprofloxacin,500 mg
Metformin,850 mg
Atorvastatin,10 mg
Losartan,50 mg
Omeprazole,20 mg
Ranitidine,150 mg
Diazepam,5 mg
Lorazepam,2 mg
Alprazolam,0.25 mg
Cetirizine,10 mg
Montelukast,5 mg
Salbutamol (Albuterol),100 mcg
Metoprolol,25 mg
Amlodipine,5 mg
Acetaminophen (Codeine),30 mg
Hydrochlorothiazide,12.5 mg
Furosemide,40 mg
Digoxin,0.25 mg
Levothyroxine,50 mcg
Warfarin,5 mg
Clopidogrel,75 mg
Atenolol,50 mg
Doxycycline,100 mg
Esomeprazole,40 mg
Prednisone,5 mg
Tramadol,50 mg
Fluoxetine,20 mg
Sertraline,50 mg
Venlafaxine,75 mg
Paroxetine,20 mg
Citalopram,20 mg
Lisinopril,10 mg
Escitalopram,10 mg
Fluticasone (Nasal),50 mcg
Levofloxacin,500 mg
Methylprednisolone,4 mg
Risperidone,1 mg
Quetiapine,25 mg
Lansoprazole,15 mg
Carvedilol,6.25 mg
Cefixime,200 mg
Nitroglycerin,0.4 mg 
Dexamethasone,0.5 mg
Sildenafil,50 mg
