Symptom
Fever
Cough
Shortness of breath
Headache
Fatigue
Nausea
Vomiting
Diarrhea
Abdominal pain
Muscle aches
Joint pain
Rash
Sore throat
Runny nose
Congestion
Loss of taste
Loss of smell
Dizziness
Chest pain
Back pain
Blurred vision
Difficulty swallowing
Excessive thirst
Frequent urination
Blood in urine
Constipation
Bleeding gums
Bruising
Chills
Sweating
Swollen glands
Cramps
Weakness
Fainting
Irritability
Memory loss
Difficulty concentrating
Confusion
Tremors
Seizures
Numbness
Tingling sensation
Hair loss
Jaundice
Pale skin
Chest tightness
Heart palpitations
Abnormal heartbeat
Bloating
Heartburn
Dry mouth
Excessive sweating
Hives
Difficulty speaking
Double vision
Hallucinations
Paralysis
Unexplained weight loss
Unexplained weight gain
Swelling in extremities
Cold intolerance
Hot flashes
Night sweats
Impaired coordination
Difficulty walking
Abnormal gait
Excessive hunger
Loss of appetite
Difficulty sleeping
Excessive sleepiness
Restlessness
Abnormal dreams
Increased thirst
Increased urination
Dark urine
Light-colored stool
Swelling in the abdomen
Foul-smelling stool
Rectal bleeding
Testicular pain
Vaginal bleeding
Irregular menstruation
Chest pressure
Heart racing
Bloody vomit
Vision changes
Difficulty hearing
Burning sensation while urinating
